id,way,sender,sendId,senderName,portrait,time,content,mediaType,isDelete
1,1,,,,,2022-11-03 13:59:08,我是A 8080 奥迪,其他,是
2,1,,,,,2022-11-03 13:59:14,"我通过了你的朋友验证请求,现在我们可以开始聊天了",其他,是
3,1,,,,,2022-11-03 14:22:16,小头,其他,是
4,1,,,,,2022-11-03 14:22:52,嗯,其他,是
5,1,,,,,2022-11-03 16:31:22,嗯,其他,是
6,1,,,,,2022-11-03 16:31:39,嗯,其他,是
7,1,,,,,2022-11-16 14:28:17,好,其他,是
8,1,,,,,2022-11-16 14:29:09,[OK],其他,是
9,1,,,,,2022-11-16 20:17:37,明天吧,其他,是
10,1,,,,,2023-02-24 09:07:35,几个,其他,是
11,1,,,,,2023-02-24 20:53:33,好,其他,是
12,1,,,,,2023-02-28 15:31:37,[OK],其他,是
13,1,,,,,2023-03-01 13:09:25,高压油泵   喷油嘴    正时上下盖   大修包   黑密封胶   活塞   暖风水管    机油三滤    防冻液   液压顶     清洗剂    废气阀    废气管,其他,是
14,1,,,,,2023-03-01 13:35:11,油底壳,其他,是
15,1,,,,,2023-03-01 17:18:31,正时下盖,其他,是
16,1,,,,,2023-03-01 17:18:34,油底壳,其他,是
17,1,,,,,2023-03-01 17:22:07,好的,其他,是
18,1,,,,,2023-03-04 09:48:30,凸轮轴支架    后三通    上下水管胶圈4个,其他,是
19,1,,,,,2023-03-04 09:49:01,凸轮轴支架?,其他,是
20,1,,,,,2023-03-04 18:06:44,??,其他,是
21,1,,,,,2023-03-11 09:37:08,节温器底座胶圈   水泵铁管胶圈   节温器   补水壶下水管,其他,是
22,1,,,,,2023-03-11 09:42:56,这是哪里,其他,是
23,1,,,,,2023-03-11 09:43:05,转向机漏油,其他,是
24,1,,,,,2023-03-11 09:43:11,气门室垫漏油,其他,是
25,1,,,,,2023-03-11 09:43:20,正时前盖漏油,其他,是
26,1,,,,,2023-03-11 09:43:25,下水管,其他,是
27,1,,,,,2023-03-11 09:44:16,我问下他,其他,是
28,1,,,,,2023-03-11 09:49:31,[OK],其他,是
29,1,,,,,2023-03-11 09:57:17,水壶盖,其他,是
30,1,,,,,2023-03-11 09:57:28,嗯,其他,是
31,1,,,,,2023-03-11 10:01:00,补水壶的管是要哪一个,其他,是
32,1,,,,,2023-03-11 10:01:56,防冻液,其他,是
33,1,,,,,2023-03-11 19:09:56,多钱,其他,是
34,1,,,,,2023-03-11 19:10:04,150,其他,是
35,1,,,,,2023-03-11 19:10:10,嗯,其他,是
36,1,,,,,2023-04-06 12:13:58,EN,其他,是
37,1,,,,,2023-04-27 16:16:16,嗯,其他,是
38,1,,,,,2023-07-20 16:21:56,图几知道吗,其他,是
39,1,,,,,2023-07-20 16:21:58,我没在,其他,是
40,1,,,,,2023-07-20 16:22:36,32,其他,是
41,1,,,,,2023-07-20 16:22:55,嗯,其他,是
42,1,,,,,2023-07-20 16:23:11,稍等,其他,是
43,1,,,,,2023-07-20 16:29:46,防冻液几个,其他,是
44,1,,,,,2023-07-20 16:30:29,3,其他,是
45,1,,,,,2023-08-02 11:23:55,给你拿了两个新的大灯灯泡   新灯不带灯泡,其他,是
46,1,,,,,2023-08-02 11:33:27,H11,其他,是
47,1,,,,,2023-08-02 12:55:37,嗯,其他,是
48,1,,,,,2023-08-03 10:58:44,嗯,其他,是
49,1,,,,,2024-03-23 15:01:50,发电机皮带   凸轮轴支架胶圈      补水壶,其他,是
50,1,,,,,2024-03-23 15:03:21,好的 拿下去,其他,是
