id,way,sender,sendId,senderName,portrait,time,content,mediaType,isDelete
1,1,,,,,,,其他,是
2,1,xiaofan152625,,车博仕范江18604741043,assets/session/DefaultAvatar.png,2018-05-30 10:55:04,我是化德县车博仕汽车维修🚘范江,文本,否
3,1,xiaofan152625,,车博仕范江18604741043,assets/session/DefaultAvatar.png,2018-05-30 10:55:12,我是化德县车博仕汽车维修🚘范江,文本,否
4,3,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2018-05-30 10:55:37,你已添加了化德县车博仕汽车维修🚘范江，现在可以开始聊天了。,通知消息,否
5,1,xiaofan152625,,车博仕范江18604741043,assets/session/DefaultAvatar.png,2018-05-30 10:56:02,"{'bottomText': '微信红包', 'dealStatus': '00', 'des': '恭喜发财，大吉大利', 'id': '1000039501201805307006594085071'}",红包,否
6,1,xiaofan152625,,车博仕范江18604741043,assets/session/DefaultAvatar.png,2018-05-30 19:19:32,"{'title': '<?xml version=""1.0""?><br><msg><br>\t<img aeskey=""6dddd34b6637416fbc1865fece0fa4d7"" encryver=""0"" cdnthumbaeskey=""6dddd34b6637416fbc1865fece0fa4d7"" cdnthumburl=""3053020100044c304a0201000204c754928b02032f4fba02042e1c1d7902045b0e88c40425617570696d675f646136396137333737653961336531395f313532373637393137323438300204010400020201000400"" cdnthumblength=""3261"" cdnthumbheight=""90"" cdnthumbwidth=""120"" cdnmidheight=""0"" cdnmidwidth=""0"" cdnhdheight=""0"" cdnhdwidth=""0"" cdnmidimgurl=""3053020100044c304a0201000204c754928b02032f4fba02042e1c1d7902045b0e88c40425617570696d675f646136396137333737653961336531395f313532373637393137323438300204010400020201000400"" length=""61852"" md5=""e638aa9c3c3cae6e8f966b1c9e68604d"" /><br></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Img\\991ab3695849a16adea2eb3e2cc4bd2e\\5.pic_thum', 'attType': 'pic_thum'}",图片,否
7,1,xiaofan152625,,车博仕范江18604741043,assets/session/DefaultAvatar.png,2018-05-30 19:19:39,"{'title': '<msg><voicemsg endflag=""1"" cancelflag=""0"" forwardflag=""0"" voiceformat=""4"" voicelength=""4103"" length=""7058"" bufid=""506821929863938592"" clientmsgid=""41303162653238656235306230633200351919053018991ab36fcb8102"" fromusername=""wxid_7wlp0khqthpw21"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\991ab3695849a16adea2eb3e2cc4bd2e\\6.amr', 'attType': 'amr'}",音频,否
8,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2018-05-30 19:25:54,1650,文本,否
9,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2018-05-30 19:25:58,德国的,文本,否
10,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2018-05-30 19:25:58,德国的,其他,是
