id,way,sender,sendId,senderName,portrait,time,content,mediaType,isDelete
1,1,wxid_dylv2t3bv2m221,,奥迪大众专营13521808999廖江龙,assets/session/DefaultAvatar.png,2018-11-24 12:01:06,"{'title': '<msg><videomsg length=""591151"" playlength=""4"" offset=""0"" fromusername="""" status=""0"" cameratype=""0"" source=""1""                                              aeskey=""1e890f57dc3391753b6bb72da1ea7522"" cdnvideourl=""30570201000450304e02010002048196c98702032f4fbb0204204e3e6f02045bf8c9e80429777875706c6f61645f777869645f64796c763274336276326d32323132305f313534333033313237320204010400040201000400"" cdnthumburl=""30570201000450304e02010002048196c98702032f4fbb0204204e3e6f02045bf8c9e80429777875706c6f61645f777869645f64796c763274336276326d32323132305f313534333033313237320204010400040201000400"" cdnthumblength=""5374"" cdnthumbwidth=""224"" cdnthumbheight=""398"" cdnthumbaeskey=""1e890f57dc3391753b6bb72da1ea7522"" encryver=""1"" fileparam="""" md5 =""01ab5339662f608932c302699d742c68"" newmd5 =""62be5f5075fe3ce602b17207f3083dd3""   filekey=""wxid_dylv2t3bv2m2211_1543032066"" uploadcontinuecount=""0""  videoFormat=""1"" /><statextstr></statextstr></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Video\\38a831153f36df869ae8b37cedc0ac42\\1.video_thum', 'attType': 'video_thum'}",视频,否
2,1,wxid_dylv2t3bv2m221,,奥迪大众专营13521808999廖江龙,assets/session/DefaultAvatar.png,2018-11-24 12:01:13,"{'title': '<msg><videomsg length=""481696"" playlength=""3"" offset=""0"" fromusername="""" status=""0"" cameratype=""0"" source=""1""                                              aeskey=""215afb0140baa79f57da97083548dee2"" cdnvideourl=""30570201000450304e02010002048196c98702032f4fbb0204204e3e6f02045bf8c9dc0429777875706c6f61645f777869645f64796c763274336276326d32323131395f313534333033313236300204010400040201000400"" cdnthumburl=""30570201000450304e02010002048196c98702032f4fbb0204204e3e6f02045bf8c9dc0429777875706c6f61645f777869645f64796c763274336276326d32323131395f313534333033313236300204010400040201000400"" cdnthumblength=""6186"" cdnthumbwidth=""224"" cdnthumbheight=""398"" cdnthumbaeskey=""215afb0140baa79f57da97083548dee2"" encryver=""1"" fileparam="""" md5 =""c5c8ae57899b935b35dc494c95486459"" newmd5 =""bb359cfdb1076fec263ebee86a890659""   filekey=""wxid_dylv2t3bv2m2212_1543032073"" uploadcontinuecount=""0""  videoFormat=""1"" /><statextstr></statextstr></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Video\\38a831153f36df869ae8b37cedc0ac42\\2.video_thum', 'attType': 'video_thum'}",视频,否
3,1,wxid_dylv2t3bv2m221,,奥迪大众专营13521808999廖江龙,assets/session/DefaultAvatar.png,2018-11-24 12:01:47,"{'title': '<msg><voicemsg endflag=""1"" cancelflag=""0"" forwardflag=""0"" voiceformat=""4"" voicelength=""9149"" length=""15795"" bufid=""1153292847853797911"" clientmsgid=""4163643239666333383236343463610035120111241838a83118a05106"" fromusername=""wxid_dylv2t3bv2m221"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\38a831153f36df869ae8b37cedc0ac42\\3.amr', 'attType': 'amr'}",音频,否
4,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2018-11-24 12:06:50,"{'title': '<msg><voicemsg voicelength=""1600"" voiceformat=""4"" forwardflag=""0"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\38a831153f36df869ae8b37cedc0ac42\\4.amr', 'attType': 'amr'}",音频,否
5,1,wxid_dylv2t3bv2m221,,奥迪大众专营13521808999廖江龙,assets/session/DefaultAvatar.png,2018-11-24 12:09:32,"{'title': '<msg><voicemsg endflag=""1"" cancelflag=""0"" forwardflag=""0"" voiceformat=""4"" voicelength=""3239"" length=""5239"" bufid=""435128913870062106"" clientmsgid=""4163643239666333383236343463610027120911241838a8311ba7a100"" fromusername=""wxid_dylv2t3bv2m221"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\38a831153f36df869ae8b37cedc0ac42\\5.amr', 'attType': 'amr'}",音频,否
6,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2018-11-24 12:22:14,40一个,文本,否
7,1,wxid_dylv2t3bv2m221,,奥迪大众专营13521808999廖江龙,assets/session/DefaultAvatar.png,2018-11-24 12:26:34,"{'title': '<msg><voicemsg endflag=""1"" cancelflag=""0"" forwardflag=""0"" voiceformat=""4"" voicelength=""2707"" length=""4655"" bufid=""362116260820877851"" clientmsgid=""4163643239666333383236343463610028122611241838a8311525e106"" fromusername=""wxid_dylv2t3bv2m221"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\38a831153f36df869ae8b37cedc0ac42\\7.amr', 'attType': 'amr'}",音频,否
8,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2018-11-24 12:26:49,有,文本,否
9,1,wxid_dylv2t3bv2m221,,奥迪大众专营13521808999廖江龙,assets/session/DefaultAvatar.png,2018-11-24 12:27:33,开一个左边,文本,否
10,1,wxid_dylv2t3bv2m221,,奥迪大众专营13521808999廖江龙,assets/session/DefaultAvatar.png,2018-11-30 16:08:41,对方已取消,语音聊天,否
11,1,wxid_dylv2t3bv2m221,,奥迪大众专营13521808999廖江龙,assets/session/DefaultAvatar.png,2018-12-04 13:00:44,"{'title': '<?xml version=""1.0""?><br><msg><br>\t<img aeskey=""65862708a63ff230941a01b89a137552"" encryver=""0"" cdnthumbaeskey=""65862708a63ff230941a01b89a137552"" cdnthumburl=""3053020100044c304a02010002045a390b8602032f4fbb0204594e3e6f02045c0609fb0425617570696d675f366234346133343663346232376539655f31353433383939363432333131020401051a020201000400"" cdnthumblength=""4531"" cdnthumbheight=""120"" cdnthumbwidth=""68"" cdnmidheight=""0"" cdnmidwidth=""0"" cdnhdheight=""0"" cdnhdwidth=""0"" cdnmidimgurl=""3053020100044c304a02010002045a390b8602032f4fbb0204594e3e6f02045c0609fb0425617570696d675f366234346133343663346232376539655f31353433383939363432333131020401051a020201000400"" length=""144671"" md5=""2f7455a0da4cd93e618820f3c80286e1"" hevc_mid_size=""78998"" /><br></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Img\\38a831153f36df869ae8b37cedc0ac42\\11.pic_thum', 'attType': 'pic_thum'}",图片,否
12,1,wxid_dylv2t3bv2m221,,奥迪大众专营13521808999廖江龙,assets/session/DefaultAvatar.png,2018-12-04 13:01:03,"{'title': '<msg><voicemsg endflag=""1"" cancelflag=""0"" forwardflag=""0"" voiceformat=""4"" voicelength=""2134"" length=""3055"" bufid=""290222936234525175"" clientmsgid=""4163643239666333383236343463610055130012041838a8311a811106"" fromusername=""wxid_dylv2t3bv2m221"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\38a831153f36df869ae8b37cedc0ac42\\12.amr', 'attType': 'amr'}",音频,否
13,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2018-12-04 13:03:02,"{'title': '<msg><voicemsg voicelength=""1740"" voiceformat=""4"" forwardflag=""0"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\38a831153f36df869ae8b37cedc0ac42\\13.amr', 'attType': 'amr'}",音频,否
14,1,wxid_dylv2t3bv2m221,,奥迪大众专营13521808999廖江龙,assets/session/DefaultAvatar.png,2018-12-17 10:24:51,通话时长 00:46,语音聊天,否
15,1,wxid_dylv2t3bv2m221,,奥迪大众专营13521808999廖江龙,assets/session/DefaultAvatar.png,2018-12-27 16:57:25,通话时长 00:14,语音聊天,否
16,1,wxid_dylv2t3bv2m221,,奥迪大众专营13521808999廖江龙,assets/session/DefaultAvatar.png,2018-12-27 17:03:12,通话时长 00:25,语音聊天,否
17,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2018-12-27 17:05:04,"{'title': '<msg><img hdlength=""439643"" length=""48277"" hevc_mid_size=""0"" cdnbigimgurl=""30570201000450304e02010002049681979c02032f4f560204e97ac2dc02045c2495c10429777875706c6f61645f777869645f64796c763274336276326d32323131375f313534353930313530340204010438010201000400"" cdnmidimgurl=""30570201000450304e02010002049681979c02032f4f560204e97ac2dc02045c2495c10429777875706c6f61645f777869645f64796c763274336276326d32323131375f313534353930313530340204010438010201000400"" aeskey=""33824f3802b8ff245c86a8a771c2e5e1"" cdnthumburl=""30570201000450304e02010002049681979c02032f4f560204e97ac2dc02045c2495c10429777875706c6f61645f777869645f64796c763274336276326d32323131375f313534353930313530340204010438010201000400"" cdnthumblength=""3126"" cdnthumbwidth=""67"" cdnthumbheight=""120"" cdnthumbaeskey=""33824f3802b8ff245c86a8a771c2e5e1"" encryver=""1"" md5=""47eed94ced8a300b7655f24d05edcda2"" filekey=""wxid_dylv2t3bv2m22117_1545901504"" uploadcontinuecount=""0""/><appinfo><appid></appid><appname></appname><version>0</version><isforceupdate>1</isforceupdate><mediatagname></mediatagname><messageext></messageext><messageaction></messageaction></appinfo></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Img\\38a831153f36df869ae8b37cedc0ac42\\17.pic_thum', 'attType': 'pic_thum'}",图片,否
18,1,wxid_dylv2t3bv2m221,,奥迪大众专营13521808999廖江龙,assets/session/DefaultAvatar.png,2018-12-27 17:54:16,忙线未接听,语音聊天,否
19,1,wxid_dylv2t3bv2m221,,奥迪大众专营13521808999廖江龙,assets/session/DefaultAvatar.png,2018-12-30 12:33:10,"{'title': '<?xml version=""1.0""?><br><msg><br>\t<img aeskey=""12753db0de55a22ae6844292c054cc66"" encryver=""0"" cdnthumbaeskey=""12753db0de55a22ae6844292c054cc66"" cdnthumburl=""3053020100044c304a02010002045a390b8602033d0af702041f9f1e6f02045c284a860425617570696d675f366234346133343663346232376539655f313534363134343338393637310204010418020201000400"" cdnthumblength=""5610"" cdnthumbheight=""120"" cdnthumbwidth=""90"" cdnmidheight=""0"" cdnmidwidth=""0"" cdnhdheight=""0"" cdnhdwidth=""0"" cdnmidimgurl=""3053020100044c304a02010002045a390b8602033d0af702041f9f1e6f02045c284a860425617570696d675f366234346133343663346232376539655f313534363134343338393637310204010418020201000400"" length=""111362"" md5=""8432ea787298a352631e98c574e80063"" /><br></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Img\\38a831153f36df869ae8b37cedc0ac42\\19.pic_thum', 'attType': 'pic_thum'}",图片,否
