id,way,sender,sendId,senderName,portrait,time,content,mediaType,isDelete
1,1,,,,,,,其他,是
2,1,liudashuai77777,,A长春鑫鑫大帅～奥迪红旗奔腾,assets/session/DefaultAvatar.png,2020-04-08 17:23:57,长春鑫鑫刘帅~奥迪专营,文本,否
3,1,liudashuai77777,,A长春鑫鑫大帅～奥迪红旗奔腾,assets/session/DefaultAvatar.png,2020-04-08 17:24:02,长春鑫鑫刘帅~奥迪专营,文本,否
4,3,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-04-08 17:24:03,以上是打招呼的内容,通知消息,否
5,3,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-04-08 17:24:24,你已添加了长春鑫鑫刘帅：一汽奥迪一汽马自达，现在可以开始聊天了。,通知消息,否
6,1,liudashuai77777,,A长春鑫鑫大帅～奥迪红旗奔腾,assets/session/DefaultAvatar.png,2020-04-08 17:24:55,你好,文本,否
7,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-04-08 17:25:01,[抱拳],文本,否
8,1,liudashuai77777,,A长春鑫鑫大帅～奥迪红旗奔腾,assets/session/DefaultAvatar.png,2020-04-08 17:25:33,我叫刘帅 现在给你致电方便吗？,文本,否
9,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-04-08 17:25:55,好的,文本,否
10,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-04-14 13:09:05,副气囊出了？,文本,否
11,1,liudashuai77777,,A长春鑫鑫大帅～奥迪红旗奔腾,assets/session/DefaultAvatar.png,2020-04-14 13:09:47,嗯 我没拿到货 被截胡了,文本,否
12,1,liudashuai77777,,A长春鑫鑫大帅～奥迪红旗奔腾,assets/session/DefaultAvatar.png,2020-04-14 13:10:08,里面有的字标有轻微划伤,文本,否
13,1,liudashuai77777,,A长春鑫鑫大帅～奥迪红旗奔腾,assets/session/DefaultAvatar.png,2020-04-14 13:10:25,还要一起拿 我就没进货,文本,否
14,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-04-14 13:10:32,嗯,文本,否
15,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-04-14 13:10:44,我说呢 现在市场出了[呲牙],文本,否
16,1,liudashuai77777,,A长春鑫鑫大帅～奥迪红旗奔腾,assets/session/DefaultAvatar.png,2020-04-14 13:11:02,嗯 前天出去的 价格多少呢,文本,否
17,1,liudashuai77777,,A长春鑫鑫大帅～奥迪红旗奔腾,assets/session/DefaultAvatar.png,2020-04-14 13:11:18,"{'title': '<msg><voicemsg endflag=""1"" length=""18623"" voicelength=""11139"" clientmsgid=""41643438656534343062336236313400061311041420b7ac9e99632104"" fromusername=""wxid_v5fpfod9ohcv12"" downcount=""0"" cancelflag=""0"" voiceformat=""4"" forwardflag=""0"" bufid=""1371001785253102087"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\b7ac9e9b5e6122a65b99ff50dbc86611\\16.amr', 'attType': 'amr'}",音频,否
18,1,liudashuai77777,,A长春鑫鑫大帅～奥迪红旗奔腾,assets/session/DefaultAvatar.png,2020-04-14 13:11:28,"{'title': '<msg><voicemsg endflag=""1"" length=""13614"" voicelength=""8435"" clientmsgid=""41643438656534343062336236313400191311041420b7ac9e9c8a4103"" fromusername=""wxid_v5fpfod9ohcv12"" downcount=""0"" cancelflag=""0"" voiceformat=""4"" forwardflag=""0"" bufid=""1010789251835429397"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\b7ac9e9b5e6122a65b99ff50dbc86611\\17.amr', 'attType': 'amr'}",音频,否
19,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-04-14 13:12:04,"{'title': '<msg><voicemsg voicelength=""4840"" voiceformat=""4"" forwardflag=""0"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\b7ac9e9b5e6122a65b99ff50dbc86611\\18.amr', 'attType': 'amr'}",音频,否
20,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-04-14 13:12:10,"{'title': '<msg><voicemsg voicelength=""2840"" voiceformat=""4"" forwardflag=""0"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\b7ac9e9b5e6122a65b99ff50dbc86611\\19.amr', 'attType': 'amr'}",音频,否
21,1,liudashuai77777,,A长春鑫鑫大帅～奥迪红旗奔腾,assets/session/DefaultAvatar.png,2020-04-14 13:12:35,"{'title': '<msg><voicemsg endflag=""1"" length=""16204"" voicelength=""10003"" clientmsgid=""41643438656534343062336236313400251312041420b7ac9e9ca56104"" fromusername=""wxid_v5fpfod9ohcv12"" downcount=""0"" cancelflag=""0"" voiceformat=""4"" forwardflag=""0"" bufid=""1156144946320769613"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\b7ac9e9b5e6122a65b99ff50dbc86611\\20.amr', 'attType': 'amr'}",音频,否
22,1,liudashuai77777,,A长春鑫鑫大帅～奥迪红旗奔腾,assets/session/DefaultAvatar.png,2020-04-14 13:12:46,"{'title': '<msg><voicemsg endflag=""1"" length=""7322"" voicelength=""5224"" clientmsgid=""41643438656534343062336236313400411312041420b7ac9e9075d102"" fromusername=""wxid_v5fpfod9ohcv12"" downcount=""0"" cancelflag=""0"" voiceformat=""4"" forwardflag=""0"" bufid=""580361051234173450"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\b7ac9e9b5e6122a65b99ff50dbc86611\\21.amr', 'attType': 'amr'}",音频,否
23,1,liudashuai77777,,A长春鑫鑫大帅～奥迪红旗奔腾,assets/session/DefaultAvatar.png,2020-04-14 13:13:05,"{'title': '<msg><voicemsg endflag=""1"" length=""26355"" voicelength=""15268"" clientmsgid=""41643438656534343062336236313400491312041420b7ac9e928d0104"" fromusername=""wxid_v5fpfod9ohcv12"" downcount=""0"" cancelflag=""0"" voiceformat=""4"" forwardflag=""0"" bufid=""1877828400413803006"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\b7ac9e9b5e6122a65b99ff50dbc86611\\22.amr', 'attType': 'amr'}",音频,否
