id,way,sender,sendId,senderName,portrait,time,content,mediaType,isDelete
1,1,dxf872768494,,鑫源顺达～途安全系13671081761,assets/session/DefaultAvatar.png,2021-10-23 10:17:09,我通过了你的朋友验证请求，现在我们可以开始聊天了,文本,否
2,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2021-10-23 10:17:28,丰益桥 东方天丰 88433232,文本,否
3,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2021-10-23 10:17:33,带李建,文本,否
4,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2021-10-23 10:17:38,来单子,文本,否
5,1,dxf872768494,,鑫源顺达～途安全系13671081761,assets/session/DefaultAvatar.png,2021-10-23 10:23:20,"{'title': '<?xml version=""1.0""?><br><msg><br>\t<img aeskey=""7a60dcaeb5b7e3a2420b9fd89ce60ec8"" encryver=""0"" cdnthumbaeskey=""7a60dcaeb5b7e3a2420b9fd89ce60ec8"" cdnthumburl=""307d0201000471306f0201000204126f90ea02034c4c6f02042f18c978020461737217044a617570696d675f393134316231393736656331373532625f313633343935353739393734315f61663436313062332d313830642d343761622d613437372d613738623464376538623864020401152a010201000405004c4c6f00"" cdnthumblength=""4100"" cdnthumbheight=""65"" cdnthumbwidth=""144"" cdnmidheight=""0"" cdnmidwidth=""0"" cdnhdheight=""0"" cdnhdwidth=""0"" cdnmidimgurl=""307d0201000471306f0201000204126f90ea02034c4c6f02042f18c978020461737217044a617570696d675f393134316231393736656331373532625f313633343935353739393734315f61663436313062332d313830642d343761622d613437372d613738623464376538623864020401152a010201000405004c4c6f00"" length=""1"" cdnbigimgurl=""307d0201000471306f0201000204126f90ea02034c4c6f02042f18c978020461737217044a617570696d675f393134316231393736656331373532625f313633343935353739393734315f61663436313062332d313830642d343761622d613437372d613738623464376538623864020401152a010201000405004c4c6f00"" hdlength=""874837"" md5=""5fcea5a93f453cd0c83499ad1178b2ae"" hevc_mid_size=""9587"" /><br></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Img\\404c8f9e89eacfdc6a7fa672f45acb1d\\5.pic_hd', 'attType': 'pic_hd'}",图片,否
6,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2021-10-23 10:23:33,嗯,文本,否
7,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2021-10-23 10:23:38,"{'title': '<msg><voicemsg voicelength=""3000"" voiceformat=""4"" forwardflag=""0"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\404c8f9e89eacfdc6a7fa672f45acb1d\\7.amr', 'attType': 'amr'}",音频,否
8,1,dxf872768494,,鑫源顺达～途安全系13671081761,assets/session/DefaultAvatar.png,2021-10-23 10:24:05,"{'title': '<msg><videomsg length=""2352871"" playlength=""15"" offset=""2352871"" fromusername="""" status=""4"" cameratype=""0"" source=""1""                                              aeskey=""140d2bbe1e1c62d43e09c383ca25a71b"" cdnvideourl=""30818e020100048181307f0201000204126f90ea02034c4c6f02042f18c978020461737244045a617570766964656f5f393134316231393736656331373532625f313633343935353834355f323131303233313032333233303837325f39356634613162362d353064322d343432312d396637312d6663373265633839373831340204011400040201000405004c4c6f00"" cdnthumburl=""30818e020100048181307f0201000204126f90ea02034c4c6f02042f18c978020461737244045a617570766964656f5f393134316231393736656331373532625f313633343935353834355f323131303233313032333233303837325f39356634613162362d353064322d343432312d396637312d6663373265633839373831340204011400040201000405004c4c6f00"" cdnthumblength=""23561"" cdnthumbwidth=""576"" cdnthumbheight=""1280"" cdnthumbaeskey=""140d2bbe1e1c62d43e09c383ca25a71b"" encryver=""1"" fileparam="""" md5 =""375ddc5104ea13e608e59ceaaecb89a2"" newmd5 =""6034e63fb3e679df4913290b9724634d""   filekey=""wxid_aos4cff0hbkd228_1634955845"" uploadcontinuecount=""0""  videoFormat=""1"" /><statextstr></statextstr><encodejson><![CDATA[]]></encodejson></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Video\\404c8f9e89eacfdc6a7fa672f45acb1d\\8.mp4', 'attType': 'mp4'}",视频,否
9,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2021-10-23 10:24:31,"{'title': '<msg><voicemsg voicelength=""4800"" voiceformat=""4"" forwardflag=""0"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\404c8f9e89eacfdc6a7fa672f45acb1d\\9.amr', 'attType': 'amr'}",音频,否
10,1,dxf872768494,,鑫源顺达～途安全系13671081761,assets/session/DefaultAvatar.png,2021-10-23 10:24:35,"{'title': '<msg><videomsg length=""2732717"" playlength=""15"" offset=""2732717"" fromusername="""" status=""4"" cameratype=""0"" source=""1""                                              aeskey=""e0d8b84fa6b319f52b526515013e342e"" cdnvideourl=""30818e020100048181307f0201000204126f90ea02034c4c6f02042f18c978020461737262045a617570766964656f5f393134316231393736656331373532625f313633343935353837345f323131303233313032343130383635335f63333032363666362d386536382d346330612d616635362d3337346131613262333131310204011400040201000405004c4c6f00"" cdnthumburl=""30818e020100048181307f0201000204126f90ea02034c4c6f02042f18c978020461737262045a617570766964656f5f393134316231393736656331373532625f313633343935353837345f323131303233313032343130383635335f63333032363666362d386536382d346330612d616635362d3337346131613262333131310204011400040201000405004c4c6f00"" cdnthumblength=""22784"" cdnthumbwidth=""432"" cdnthumbheight=""960"" cdnthumbaeskey=""e0d8b84fa6b319f52b526515013e342e"" encryver=""1"" fileparam="""" md5 =""43bcbab3b5f82901d1a730c53c7c0d03"" newmd5 =""af97458ac76704e4ec0099f5b714be24""   filekey=""wxid_aos4cff0hbkd2210_1634955875"" uploadcontinuecount=""0""  videoFormat=""1"" /><statextstr></statextstr><encodejson><![CDATA[]]></encodejson></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Video\\404c8f9e89eacfdc6a7fa672f45acb1d\\10.mp4', 'attType': 'mp4'}",视频,否
11,1,dxf872768494,,鑫源顺达～途安全系13671081761,assets/session/DefaultAvatar.png,2021-10-23 10:24:57,"{'title': '<msg><voicemsg endflag=""1"" length=""13003"" voicelength=""7378"" clientmsgid=""41643736333661366237623961616300491024102321404c8f9b98d101"" fromusername=""wxid_aos4cff0hbkd22"" downcount=""0"" cancelflag=""0"" voiceformat=""4"" forwardflag=""0"" bufid=""939769982903386741"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\404c8f9e89eacfdc6a7fa672f45acb1d\\11.amr', 'attType': 'amr'}",音频,否
12,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2021-10-23 10:25:11,"{'title': '<msg><voicemsg voicelength=""5640"" voiceformat=""4"" forwardflag=""0"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\404c8f9e89eacfdc6a7fa672f45acb1d\\12.amr', 'attType': 'amr'}",音频,否
13,1,dxf872768494,,鑫源顺达～途安全系13671081761,assets/session/DefaultAvatar.png,2021-10-23 10:25:57,"{'title': '<?xml version=""1.0""?><br><msg><br>\t<img aeskey=""6d43aae70fd72ba623c2690846733961"" encryver=""0"" cdnthumbaeskey=""6d43aae70fd72ba623c2690846733961"" cdnthumburl=""307d0201000471306f0201000204126f90ea02034c4c6f02042f18c9780204617372b4044a617570696d675f393134316231393736656331373532625f313633343935353935373436335f36366635383665662d356239332d343136612d393538622d316561623463643935376664020401152a010201000405004c4c6f00"" cdnthumblength=""4031"" cdnthumbheight=""65"" cdnthumbwidth=""144"" cdnmidheight=""0"" cdnmidwidth=""0"" cdnhdheight=""0"" cdnhdwidth=""0"" cdnmidimgurl=""307d0201000471306f0201000204126f90ea02034c4c6f02042f18c9780204617372b4044a617570696d675f393134316231393736656331373532625f313633343935353935373436335f36366635383665662d356239332d343136612d393538622d316561623463643935376664020401152a010201000405004c4c6f00"" length=""1"" cdnbigimgurl=""307d0201000471306f0201000204126f90ea02034c4c6f02042f18c9780204617372b4044a617570696d675f393134316231393736656331373532625f313633343935353935373436335f36366635383665662d356239332d343136612d393538622d316561623463643935376664020401152a010201000405004c4c6f00"" hdlength=""730739"" md5=""0cb6b69f878c020da3a61daf0f6df610"" hevc_mid_size=""13513"" /><br></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Img\\404c8f9e89eacfdc6a7fa672f45acb1d\\13.pic', 'attType': 'pic'}",图片,否
14,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2021-10-23 10:26:33,"{'amount': '¥350.00', 'bottomText': '微信转账', 'dealStatus': '02', 'des': '', 'id': '100005000121102300050122349492392432', 'receiverAccount': 'dxf872768494', 'receiverName': '鑫源顺达～途安全系13671081761', 'senderAccount': 'wxid_m3qsj02x0caq21', 'senderName': 'A 8080 奥迪'}",转账,否
15,1,dxf872768494,,鑫源顺达～途安全系13671081761,assets/session/DefaultAvatar.png,2021-10-23 10:29:31,"{'amount': '￥350.00', 'bottomText': '微信转账', 'dealStatus': '03', 'des': '', 'id': '100005000121102300050122349492392432', 'receiverAccount': 'dxf872768494', 'receiverName': '鑫源顺达～途安全系13671081761', 'senderAccount': 'wxid_m3qsj02x0caq21', 'senderName': 'A 8080 奥迪'}",转账,否
16,1,dxf872768494,,鑫源顺达～途安全系13671081761,assets/session/DefaultAvatar.png,2021-10-23 10:36:54,"{'title': '<?xml version=""1.0""?><br><msg><br>\t<img aeskey=""9236825df96a4f7871ccf737c805e188"" encryver=""0"" cdnthumbaeskey=""9236825df96a4f7871ccf737c805e188"" cdnthumburl=""307d0201000471306f0201000204126f90ea02034c4c6f02042f18c978020461737546044a617570696d675f393134316231393736656331373532625f313633343935363631343135325f35656138303361662d306634662d346262622d613633362d653136306663356564393631020401152a010201000405004c4c6f00"" cdnthumblength=""4652"" cdnthumbheight=""144"" cdnthumbwidth=""65"" cdnmidheight=""0"" cdnmidwidth=""0"" cdnhdheight=""0"" cdnhdwidth=""0"" cdnmidimgurl=""307d0201000471306f0201000204126f90ea02034c4c6f02042f18c978020461737546044a617570696d675f393134316231393736656331373532625f313633343935363631343135325f35656138303361662d306634662d346262622d613633362d653136306663356564393631020401152a010201000405004c4c6f00"" length=""1"" cdnbigimgurl=""307d0201000471306f0201000204126f90ea02034c4c6f02042f18c978020461737546044a617570696d675f393134316231393736656331373532625f313633343935363631343135325f35656138303361662d306634662d346262622d613633362d653136306663356564393631020401152a010201000405004c4c6f00"" hdlength=""810460"" md5=""909bb49dec2a5d3704b2f23eecf98d1a"" hevc_mid_size=""14995"" /><br></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Img\\404c8f9e89eacfdc6a7fa672f45acb1d\\16.pic_hd', 'attType': 'pic_hd'}",图片,否
17,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2021-10-23 10:37:00,[抱拳],文本,否
18,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2021-10-24 14:44:26,在吗,文本,否
19,1,dxf872768494,,鑫源顺达～途安全系13671081761,assets/session/DefaultAvatar.png,2021-10-24 14:45:26,什么,文本,否
20,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2021-10-24 14:45:33,客户不同意 运费我付了给你退回去吧,文本,否
21,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2021-10-24 14:45:48,516G那个条,文本,否
