id,way,sender,sendId,senderName,portrait,time,content,mediaType,isDelete
1,1,,,,,2023-06-05 12:26:05,我是A 8080 奥迪,其他,是
2,1,,,,,2023-06-05 12:26:22,"我通过了你的朋友验证请求,现在我们可以开始聊天了",其他,是
3,1,,,,,2023-06-05 12:26:50,7L8 820 744 G 刚才问的 帮我发一个吧,其他,是
4,1,,,,,2023-06-05 12:26:53,原厂的,其他,是
5,1,,,,,2023-06-05 12:26:58,好的,其他,是
6,1,,,,,2023-06-05 12:27:03,你在哪里了,其他,是
7,1,,,,,2023-06-05 12:27:06,丰益桥东方天丰 8843 3232 带李建,其他,是
8,1,,,,,2023-06-05 12:28:19,来个单子吧,其他,是
9,1,,,,,2023-06-05 12:30:01,好了,其他,是
10,1,,,,,2023-06-05 12:30:23,好,其他,是
11,1,,,,,2023-06-05 13:18:33,有单号了吗 帮我来一个,其他,是
12,1,,,,,2023-06-05 13:18:57,稍等 库房带来了 马上就去发了 单号稍等,其他,是
13,1,,,,,2023-06-05 13:19:05,好,其他,是
14,1,,,,,2023-06-05 13:49:32,有单号了吗,其他,是
15,1,,,,,2023-06-05 14:01:38,在吗,其他,是
16,1,,,,,2023-06-05 14:06:25,在,其他,是
17,1,,,,,2023-06-05 14:06:32,稍等,其他,是
18,1,,,,,2023-06-05 14:06:38,嗯,其他,是
19,1,,,,,2023-06-05 14:24:18,有了吗,其他,是
20,1,,,,,2023-06-05 14:54:54,单号,其他,是
21,1,,,,,2023-06-05 14:58:54,等会 库房还没回来,其他,是
22,1,,,,,2023-06-05 15:00:51,尽快吧,其他,是
23,1,,,,,2023-06-05 15:01:05,发了是吧,其他,是
24,1,,,,,2023-06-05 15:47:04,[抱拳],其他,是
25,1,,,,,2023-09-03 11:19:24,在,其他,是
26,1,,,,,2023-09-03 11:19:30,在,其他,是
27,1,,,,,2023-09-03 11:19:37,昨天问的4H9,其他,是
28,1,,,,,2023-09-03 11:19:46,4H0 121 207B,其他,是
29,1,,,,,2023-09-03 11:19:49,帮我开一个,其他,是
30,1,,,,,2023-09-03 11:19:54,好,其他,是
31,1,,,,,2023-09-03 11:19:57,丰益桥东方天丰 8843 3232 带李建,其他,是
32,1,,,,,2023-09-03 11:20:01,好,其他,是
33,1,,,,,2023-09-03 12:21:58,大哥  转下 给个截图,其他,是
34,1,,,,,2023-09-03 12:22:00,现在发,其他,是
35,1,,,,,2023-09-03 12:22:05,库房刚带回来,其他,是
36,1,,,,,2023-09-03 12:22:21,昨天说的720 吧,其他,是
37,1,,,,,2023-09-03 12:22:28,好,其他,是
38,1,,,,,2023-09-03 12:22:29,720,其他,是
39,1,,,,,2023-09-03 12:22:49,好了,其他,是
40,1,,,,,2023-09-03 12:22:54,嗯嗯,其他,是
41,1,,,,,2023-09-03 12:22:59,一会给你单号,其他,是
42,1,,,,,2023-09-03 12:23:00,[抱拳],其他,是
