id,way,sender,sendId,senderName,portrait,time,content,mediaType,isDelete
1,1,wxid_xj6uy2ft2h8l22,,星月,assets/session/DefaultAvatar.png,2018-02-22 17:59:03,陆航汽修的吴姐13521243861,文本,否
2,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2018-02-22 17:59:08,好,文本,否
3,1,wxid_xj6uy2ft2h8l22,,星月,assets/session/DefaultAvatar.png,2018-02-25 09:11:31,"{'title': '<?xml version=""1.0""?><br><msg><br>\t<img aeskey=""3a543a042a234458b75e97f10e43bffa"" encryver=""0"" cdnthumbaeskey=""3a543a042a234458b75e97f10e43bffa"" cdnthumburl=""3053020100044c304a02010002042ad08d3102032f4f5502049b72512a02045a920d430425617570696d675f393030326439373163663962383363655f313531393532313039363132360204010400020201000400"" cdnthumblength=""7794"" cdnthumbheight=""120"" cdnthumbwidth=""68"" cdnmidheight=""0"" cdnmidwidth=""0"" cdnhdheight=""0"" cdnhdwidth=""0"" cdnmidimgurl=""3053020100044c304a02010002042ad08d3102032f4f5502049b72512a02045a920d430425617570696d675f393030326439373163663962383363655f313531393532313039363132360204010400020201000400"" length=""131156"" md5=""0345b927c7b54349b71247927d41f122"" /><br></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Img\\217d77c41d610689243c11dd1b5e013a\\3.pic_thum', 'attType': 'pic_thum'}",图片,否
4,1,wxid_xj6uy2ft2h8l22,,星月,assets/session/DefaultAvatar.png,2018-02-25 09:12:02,这个要后备箱支撑杆2个,文本,否
5,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2018-02-25 09:15:44,嗯,文本,否
6,1,wxid_xj6uy2ft2h8l22,,星月,assets/session/DefaultAvatar.png,2018-02-25 09:30:09,"{'title': '<msg><voicemsg endflag=""1"" length=""4457"" voicelength=""2556"" clientmsgid=""41663638626630336630393834633200110930022518217d77cb1aa103"" fromusername=""wxid_xj6uy2ft2h8l22"" downcount=""0"" cancelflag=""0"" voiceformat=""4"" forwardflag=""0"" bufid=""360700506291503649"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\217d77c41d610689243c11dd1b5e013a\\6.amr', 'attType': 'amr'}",音频,否
7,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2018-02-25 09:30:36,40,文本,否
8,1,wxid_xj6uy2ft2h8l22,,星月,assets/session/DefaultAvatar.png,2018-02-25 10:36:41,"{'title': '<msg><voicemsg endflag=""1"" length=""2517"" voicelength=""1462"" clientmsgid=""41663638626630336630393834633200451036022518217d77ca335103"" fromusername=""wxid_xj6uy2ft2h8l22"" downcount=""0"" cancelflag=""0"" voiceformat=""4"" forwardflag=""0"" bufid=""217192313359892993"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\217d77c41d610689243c11dd1b5e013a\\8.amr', 'attType': 'amr'}",音频,否
9,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2018-02-25 10:36:52,"{'title': '<msg><voicemsg endflag=""1"" voicelength=""4160"" voiceformat=""4"" fromusername=""wxid_m3qsj02x0caq21"" isPlayed=""1"" /> </msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\217d77c41d610689243c11dd1b5e013a\\9.amr', 'attType': 'amr'}",音频,否
10,1,wxid_xj6uy2ft2h8l22,,星月,assets/session/DefaultAvatar.png,2018-02-25 10:37:19,"{'title': '<msg><voicemsg endflag=""1"" length=""7090"" voicelength=""3784"" clientmsgid=""41663638626630336630393834633200191037022518217d77c2994103"" fromusername=""wxid_xj6uy2ft2h8l22"" downcount=""0"" cancelflag=""0"" voiceformat=""4"" forwardflag=""0"" bufid=""508251947560927824"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\217d77c41d610689243c11dd1b5e013a\\10.amr', 'attType': 'amr'}",音频,否
11,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2018-02-25 10:37:29,"{'title': '<msg><voicemsg endflag=""1"" voicelength=""1280"" voiceformat=""4"" fromusername=""wxid_m3qsj02x0caq21"" isPlayed=""1"" /> </msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\217d77c41d610689243c11dd1b5e013a\\11.amr', 'attType': 'amr'}",音频,否
